cluster,feature,value,pct
0,color_name,steelblue,100.0
0,color_name,crimson,0.0
0,color_name,darkorange,0.0
0,color_name,forestgreen,0.0
0,color_name,lightgreen,0.0
0,color_name,lightsalmon,0.0
0,color_name,lightsteelblue,0.0
1,color_name,lightsteelblue,100.0
1,color_name,crimson,0.0
1,color_name,darkorange,0.0
1,color_name,forestgreen,0.0
1,color_name,lightgreen,0.0
1,color_name,lightsalmon,0.0
1,color_name,steelblue,0.0
2,color_name,darkorange,100.0
2,color_name,crimson,0.0
2,color_name,forestgreen,0.0
2,color_name,lightgreen,0.0
2,color_name,lightsalmon,0.0
2,color_name,lightsteelblue,0.0
2,color_name,steelblue,0.0
3,color_name,lightsalmon,100.0
3,color_name,crimson,0.0
3,color_name,darkorange,0.0
3,color_name,forestgreen,0.0
3,color_name,lightgreen,0.0
3,color_name,lightsteelblue,0.0
3,color_name,steelblue,0.0
4,color_name,forestgreen,100.0
4,color_name,crimson,0.0
4,color_name,darkorange,0.0
4,color_name,lightgreen,0.0
4,color_name,lightsalmon,0.0
4,color_name,lightsteelblue,0.0
4,color_name,steelblue,0.0
5,color_name,lightgreen,100.0
5,color_name,crimson,0.0
5,color_name,darkorange,0.0
5,color_name,forestgreen,0.0
5,color_name,lightsalmon,0.0
5,color_name,lightsteelblue,0.0
5,color_name,steelblue,0.0
6,color_name,crimson,100.0
6,color_name,darkorange,0.0
6,color_name,forestgreen,0.0
6,color_name,lightgreen,0.0
6,color_name,lightsalmon,0.0
6,color_name,lightsteelblue,0.0
6,color_name,steelblue,0.0
7,color_name,lightsalmon,100.0
7,color_name,crimson,0.0
7,color_name,darkorange,0.0
7,color_name,forestgreen,0.0
7,color_name,lightgreen,0.0
7,color_name,lightsteelblue,0.0
7,color_name,steelblue,0.0
